idade,sexo,trabalho,moradia,conta_poupanca,conta_corrente,quantidade_credito,duracao,objetivo,pagamento_realizado
34,masculino,3,própria,pouco,moderado,1860,12,carro,0
29,feminino,2,própria,pouco,pouco,3499,12,carro,0
24,feminino,2,própria,não possui,moderado,8487,48,carro,0
29,masculino,2,própria,pouco,pouco,6887,36,educação,1
27,masculino,1,própria,pouco,não possui,2708,15,móveis/equipamentos,0
47,masculino,2,gratuita,pouco,não possui,1984,18,móveis/equipamentos,0
21,feminino,2,própria,moderado,não possui,10144,60,rádio/TV,1
38,feminino,2,própria,não possui,não possui,1240,12,rádio/TV,0
27,masculino,2,própria,rico,não possui,8613,27,carro,1
66,masculino,1,própria,bastante,moderado,766,12,rádio/TV,0
35,masculino,2,própria,não possui,moderado,2728,15,rádio/TV,0
44,feminino,1,alugada,pouco,rico,1881,12,rádio/TV,0
27,masculino,0,própria,rico,rico,709,6,carro,1
30,feminino,3,própria,pouco,moderado,4795,36,rádio/TV,0
27,masculino,3,própria,pouco,pouco,3416,27,rádio/TV,0
22,masculino,2,própria,pouco,pouco,2462,18,móveis/equipamentos,1
23,feminino,2,própria,pouco,não possui,2288,21,móveis/equipamentos,0
30,masculino,2,própria,moderado,moderado,3566,48,negócios,0
39,feminino,2,própria,pouco,pouco,860,6,carro,1
51,feminino,2,própria,moderado,não possui,682,12,carro,1
28,masculino,2,própria,pouco,pouco,5371,36,móveis/equipamentos,1
46,masculino,2,própria,rico,não possui,1582,18,rádio/TV,0
42,masculino,2,gratuita,moderado,não possui,1346,6,rádio/TV,1
38,masculino,2,própria,pouco,não possui,1924,10,rádio/TV,1
24,masculino,2,própria,pouco,rico,5848,36,rádio/TV,1
29,feminino,2,alugada,rico,moderado,7758,24,carro,0
36,masculino,3,alugada,moderado,moderado,6967,24,negócios,0
20,feminino,2,alugada,pouco,pouco,1282,12,móveis/equipamentos,0
48,masculino,2,própria,moderado,pouco,1288,9,reparos,1
45,masculino,1,própria,pouco,pouco,339,12,educação,0
38,masculino,2,própria,moderado,moderado,3512,24,carro,0
34,masculino,1,própria,não possui,não possui,1898,6,rádio/TV,1
36,masculino,2,própria,moderado,não possui,2872,24,rádio/TV,0
30,feminino,2,própria,pouco,não possui,1055,18,carro,0
36,masculino,2,própria,bastante,não possui,1262,15,eletrodomésticos,0
70,masculino,3,gratuita,pouco,moderado,7308,10,carro,1
36,masculino,2,própria,bastante,não possui,909,36,carro,0
32,masculino,2,própria,bastante,não possui,2978,6,móveis/equipamentos,1
33,feminino,2,própria,pouco,pouco,1131,18,móveis/equipamentos,0
20,feminino,2,própria,rico,moderado,1577,11,móveis/equipamentos,1
25,feminino,2,alugada,pouco,não possui,3972,24,móveis/equipamentos,0
31,masculino,2,própria,pouco,moderado,1935,24,negócios,0
33,masculino,2,alugada,pouco,pouco,950,15,carro,0
26,feminino,2,própria,pouco,não possui,763,12,móveis/equipamentos,0
34,feminino,3,própria,pouco,moderado,2064,24,móveis/equipamentos,0
33,masculino,2,própria,pouco,moderado,1414,8,rádio/TV,1
26,masculino,2,própria,pouco,pouco,3414,21,educação,1
53,feminino,3,própria,não possui,não possui,7485,30,carro,0
42,masculino,2,própria,pouco,pouco,2577,12,móveis/equipamentos,0
52,masculino,2,própria,bastante,pouco,338,6,rádio/TV,1
31,masculino,3,alugada,pouco,não possui,1963,12,rádio/TV,0
65,masculino,2,própria,pouco,pouco,571,21,carro,0
28,masculino,2,própria,pouco,não possui,9572,36,negócios,1
30,masculino,3,própria,pouco,moderado,4455,36,negócios,0
40,masculino,1,própria,não possui,pouco,1647,21,carro,0
50,masculino,2,própria,rico,não possui,3777,24,móveis/equipamentos,0
36,masculino,2,própria,pouco,moderado,884,18,carro,0
31,masculino,2,própria,pouco,não possui,1360,15,rádio/TV,0
74,feminino,3,gratuita,pouco,moderado,5129,9,carro,0
68,masculino,0,gratuita,pouco,moderado,1175,16,carro,0
20,masculino,2,própria,moderado,pouco,674,12,rádio/TV,1
33,feminino,2,própria,pouco,moderado,3244,18,móveis/equipamentos,0
54,masculino,3,própria,rico,não possui,4591,24,negócios,1
34,masculino,1,gratuita,moderado,moderado,3844,48,negócios,0
36,masculino,2,própria,pouco,moderado,3915,27,negócios,0
29,masculino,2,alugada,pouco,não possui,2108,6,rádio/TV,1
21,masculino,2,alugada,moderado,moderado,3031,45,rádio/TV,1
34,feminino,3,própria,pouco,moderado,1501,9,educação,1
28,feminino,2,própria,pouco,não possui,1382,6,rádio/TV,1
27,feminino,2,alugada,moderado,moderado,951,12,móveis/equipamentos,0
36,masculino,2,gratuita,não possui,moderado,2760,24,carro,0
40,masculino,3,própria,pouco,moderado,4297,18,móveis/equipamentos,0
52,masculino,2,própria,bastante,não possui,936,9,educação,1
27,masculino,1,própria,pouco,pouco,1168,12,carro,0
26,masculino,2,própria,pouco,não possui,5117,27,negócios,1
21,masculino,2,alugada,pouco,pouco,902,12,educação,1
38,masculino,1,própria,pouco,não possui,1495,12,carro,0
38,masculino,3,gratuita,pouco,pouco,10623,30,carro,1
43,masculino,2,própria,pouco,não possui,1935,12,móveis/equipamentos,0
26,masculino,2,própria,pouco,moderado,1424,12,eletrodomésticos,1
21,masculino,1,própria,pouco,pouco,6568,24,negócios,0
55,masculino,2,própria,rico,não possui,1413,12,carro,0
33,masculino,2,própria,não possui,não possui,3074,9,rádio/TV,1
45,feminino,1,própria,não possui,não possui,3835,36,rádio/TV,0
50,masculino,2,própria,pouco,pouco,5293,27,negócios,0
66,masculino,3,própria,pouco,rico,1908,30,negócios,1
51,masculino,2,própria,não possui,não possui,3342,36,rádio/TV,0
39,feminino,1,própria,não possui,moderado,932,6,educação,1
31,masculino,2,própria,pouco,pouco,3104,18,negócios,0
23,masculino,2,própria,pouco,rico,3913,36,rádio/TV,1
24,masculino,1,alugada,pouco,pouco,3021,24,móveis/equipamentos,0
64,feminino,2,própria,pouco,não possui,1364,10,carro,1
26,masculino,1,própria,pouco,moderado,625,12,rádio/TV,0
23,feminino,2,alugada,não possui,pouco,1200,12,educação,0
30,masculino,2,própria,pouco,não possui,707,12,rádio/TV,0
32,masculino,2,própria,não possui,não possui,2978,24,negócios,0
30,masculino,2,própria,pouco,não possui,4657,15,carro,0
27,masculino,2,própria,pouco,não possui,2613,36,reparos,1
27,masculino,2,própria,rico,moderado,10961,48,rádio/TV,1
53,masculino,3,gratuita,pouco,pouco,7865,12,móveis/equipamentos,1
22,masculino,2,própria,pouco,não possui,1478,9,rádio/TV,1
22,masculino,2,gratuita,pouco,pouco,3149,24,móveis/equipamentos,1
26,masculino,2,própria,pouco,rico,4210,36,rádio/TV,1
51,masculino,1,gratuita,bastante,não possui,2507,9,carro,1
35,masculino,2,própria,moderado,não possui,2141,12,rádio/TV,0
25,masculino,1,própria,pouco,moderado,866,18,rádio/TV,0
42,masculino,1,própria,pouco,não possui,1544,4,rádio/TV,1
30,masculino,3,própria,pouco,pouco,1823,24,rádio/TV,0
23,masculino,0,própria,não possui,moderado,14555,6,carro,0
61,masculino,1,alugada,moderado,moderado,2767,21,negócios,0
35,feminino,2,própria,pouco,não possui,1291,12,rádio/TV,0
39,masculino,2,própria,pouco,pouco,2522,30,rádio/TV,0
29,feminino,2,própria,não possui,pouco,915,24,carro,0
51,masculino,2,própria,pouco,não possui,1595,6,rádio/TV,1
24,masculino,2,gratuita,pouco,pouco,4605,48,carro,1
27,feminino,2,própria,pouco,não possui,1185,12,negócios,0
35,feminino,1,própria,bastante,não possui,3447,12,educação,0
25,masculino,2,própria,pouco,não possui,1258,24,negócios,1
52,masculino,2,própria,pouco,não possui,717,12,rádio/TV,0
35,masculino,2,alugada,moderado,não possui,1204,6,carro,1
26,masculino,2,própria,pouco,rico,1925,24,móveis/equipamentos,1
22,feminino,2,alugada,pouco,não possui,433,18,rádio/TV,0
39,feminino,1,própria,rico,pouco,666,6,carro,1
46,feminino,1,própria,pouco,rico,2251,12,móveis/equipamentos,0
24,feminino,2,própria,pouco,moderado,2150,30,carro,0
35,masculino,2,própria,moderado,não possui,4151,24,móveis/equipamentos,0
24,masculino,2,própria,não possui,moderado,2030,9,móveis/equipamentos,1
27,masculino,1,própria,não possui,moderado,7418,60,rádio/TV,0
35,masculino,1,própria,pouco,não possui,2684,24,rádio/TV,0
29,masculino,2,gratuita,pouco,pouco,2149,12,rádio/TV,1
23,feminino,2,própria,moderado,não possui,3812,15,carro,0
57,feminino,1,própria,moderado,não possui,1154,11,rádio/TV,1
27,masculino,2,própria,pouco,pouco,1657,12,móveis/equipamentos,1
55,feminino,2,própria,pouco,pouco,1603,24,rádio/TV,1
36,masculino,3,gratuita,pouco,pouco,5302,18,carro,0
57,feminino,1,gratuita,pouco,não possui,2748,12,educação,0
32,masculino,1,própria,pouco,não possui,1231,10,carro,1
37,masculino,2,própria,pouco,moderado,802,15,rádio/TV,0
36,masculino,2,própria,não possui,não possui,6304,36,negócios,0
38,feminino,2,própria,pouco,não possui,1533,24,rádio/TV,0
45,masculino,3,própria,pouco,pouco,8978,14,carro,1
25,masculino,2,própria,não possui,não possui,999,24,rádio/TV,1
32,masculino,2,própria,não possui,não possui,2662,18,carro,0
37,feminino,2,alugada,bastante,não possui,1402,12,móveis/equipamentos,0
36,masculino,3,gratuita,não possui,moderado,12169,48,carro,1
28,masculino,2,própria,pouco,moderado,3060,48,rádio/TV,1
34,masculino,1,própria,pouco,pouco,11998,30,reparos,1
32,masculino,2,própria,pouco,não possui,2697,9,rádio/TV,1
26,feminino,2,própria,pouco,não possui,2404,18,rádio/TV,0
49,masculino,1,própria,não possui,pouco,1262,12,móveis/equipamentos,0
32,feminino,2,própria,pouco,não possui,4611,6,móveis/equipamentos,1
29,masculino,3,alugada,moderado,não possui,1901,24,rádio/TV,0
23,masculino,2,alugada,rico,não possui,3368,15,carro,1
50,masculino,2,própria,pouco,não possui,1574,12,móveis/equipamentos,0
49,masculino,1,própria,não possui,rico,1445,18,rádio/TV,0
63,masculino,2,própria,não possui,não possui,1520,15,móveis/equipamentos,0
37,masculino,2,própria,moderado,moderado,3878,24,carro,0
35,feminino,1,própria,pouco,pouco,10722,47,carro,1
26,masculino,2,própria,pouco,pouco,4788,48,carro,1
31,masculino,3,gratuita,moderado,moderado,7582,48,férias/outros,0
49,feminino,2,própria,pouco,moderado,1092,12,rádio/TV,1
48,masculino,2,própria,pouco,pouco,1024,24,rádio/TV,0
26,masculino,2,própria,pouco,não possui,1076,12,negócios,1
28,masculino,3,alugada,pouco,moderado,9398,36,carro,0
44,feminino,3,gratuita,pouco,pouco,6419,24,carro,0
56,masculino,2,gratuita,pouco,rico,4796,42,carro,0
46,masculino,3,própria,não possui,não possui,7629,48,negócios,1
26,feminino,2,própria,pouco,moderado,9960,48,móveis/equipamentos,0
20,feminino,2,alugada,não possui,não possui,4675,12,carro,0
45,masculino,1,própria,não possui,não possui,1287,10,carro,1
43,masculino,2,própria,pouco,não possui,2515,18,móveis/equipamentos,0
32,masculino,2,própria,rico,moderado,2745,21,móveis/equipamentos,0
54,feminino,0,própria,pouco,não possui,672,6,carro,1
42,feminino,2,própria,pouco,moderado,3804,36,rádio/TV,1
37,masculino,1,própria,não possui,rico,1344,24,carro,0
49,masculino,2,própria,pouco,pouco,1038,10,carro,1
44,masculino,2,gratuita,bastante,não possui,10127,48,carro,1
33,masculino,2,própria,rico,não possui,1543,6,móveis/equipamentos,1
24,feminino,1,alugada,não possui,não possui,4811,30,carro,1
33,masculino,1,própria,moderado,pouco,727,12,rádio/TV,0
24,feminino,2,própria,pouco,moderado,1237,8,móveis/equipamentos,1
22,masculino,1,alugada,pouco,moderado,276,9,carro,1
40,masculino,0,gratuita,não possui,moderado,5381,48,férias/outros,0
25,masculino,2,própria,moderado,não possui,5511,24,móveis/equipamentos,1
26,feminino,2,própria,pouco,rico,3749,24,móveis/equipamentos,0
25,masculino,1,própria,pouco,moderado,685,12,carro,0
29,masculino,1,própria,não possui,rico,1494,4,carro,1
31,masculino,2,própria,pouco,pouco,2746,36,móveis/equipamentos,0
38,masculino,1,própria,pouco,pouco,708,12,móveis/equipamentos,0
48,feminino,1,própria,não possui,moderado,4351,24,móveis/equipamentos,0
32,masculino,2,própria,pouco,não possui,701,12,educação,0
27,feminino,1,própria,pouco,pouco,3643,15,móveis/equipamentos,1
28,masculino,3,própria,pouco,moderado,4249,30,carro,0
32,masculino,2,própria,pouco,pouco,1938,24,rádio/TV,0
34,masculino,3,gratuita,pouco,pouco,2910,24,carro,0
28,masculino,2,própria,rico,pouco,2659,18,móveis/equipamentos,1
36,feminino,2,própria,pouco,não possui,1028,18,carro,0
39,masculino,1,própria,pouco,pouco,3398,8,carro,1
49,masculino,2,alugada,não possui,não possui,5801,12,móveis/equipamentos,0
34,feminino,2,própria,rico,não possui,1525,24,carro,0
31,masculino,2,própria,pouco,rico,4473,36,rádio/TV,0
28,masculino,2,própria,pouco,moderado,1068,6,rádio/TV,1
75,masculino,3,gratuita,pouco,pouco,6615,24,carro,1
30,feminino,2,própria,moderado,não possui,1864,18,educação,0
24,feminino,3,própria,moderado,moderado,7408,60,carro,0
24,feminino,1,alugada,moderado,não possui,11590,48,carro,1
23,masculino,2,alugada,pouco,pouco,4110,24,móveis/equipamentos,1
44,masculino,3,alugada,pouco,pouco,3384,6,móveis/equipamentos,1
23,feminino,1,própria,pouco,moderado,2101,13,rádio/TV,1
24,feminino,2,alugada,não possui,pouco,1275,15,eletrodomésticos,0
28,masculino,2,própria,pouco,pouco,4169,24,móveis/equipamentos,1
31,masculino,1,própria,pouco,moderado,1521,10,móveis/equipamentos,1
24,feminino,2,gratuita,pouco,moderado,5743,24,educação,0
26,feminino,1,alugada,pouco,pouco,3599,21,móveis/equipamentos,1
25,masculino,2,alugada,bastante,moderado,3213,18,rádio/TV,1
33,masculino,3,própria,pouco,moderado,4439,18,negócios,0
37,masculino,1,própria,pouco,rico,3949,10,carro,1
43,feminino,1,própria,pouco,não possui,1459,15,rádio/TV,0
23,masculino,2,própria,pouco,moderado,882,13,rádio/TV,1
23,feminino,0,alugada,bastante,moderado,3758,24,rádio/TV,0
34,masculino,1,própria,moderado,não possui,1743,6,negócios,1
32,masculino,2,gratuita,rico,moderado,1136,9,educação,1
23,feminino,2,alugada,pouco,não possui,1236,9,eletrodomésticos,1
29,feminino,2,própria,pouco,moderado,959,9,móveis/equipamentos,1
38,masculino,3,própria,não possui,não possui,3229,18,carro,0
28,masculino,2,alugada,pouco,pouco,6199,12,rádio/TV,1
46,masculino,2,gratuita,bastante,não possui,727,10,educação,1
23,masculino,1,própria,pouco,moderado,1246,24,carro,0
49,masculino,2,própria,não possui,não possui,2331,12,rádio/TV,0
26,masculino,3,própria,pouco,não possui,4463,36,rádio/TV,0
28,masculino,2,própria,pouco,não possui,776,12,rádio/TV,1
23,feminino,2,alugada,pouco,pouco,2406,30,móveis/equipamentos,0
61,masculino,2,gratuita,não possui,moderado,1239,18,educação,0
37,masculino,3,própria,não possui,rico,3399,12,rádio/TV,0
36,feminino,2,própria,pouco,rico,2247,12,carro,0
21,masculino,2,alugada,pouco,não possui,1766,6,móveis/equipamentos,1
25,masculino,0,própria,pouco,pouco,2473,18,móveis/equipamentos,0
36,masculino,2,própria,pouco,não possui,1542,12,negócios,0
27,masculino,2,própria,pouco,não possui,3850,18,carro,1
22,feminino,2,alugada,pouco,pouco,3650,18,móveis/equipamentos,0
42,masculino,2,própria,pouco,pouco,3446,36,móveis/equipamentos,0
40,feminino,2,alugada,pouco,moderado,3001,18,móveis/equipamentos,0
36,masculino,2,própria,não possui,não possui,3079,36,carro,0
33,masculino,2,própria,pouco,não possui,6070,18,rádio/TV,0
23,feminino,2,alugada,pouco,não possui,2146,10,móveis/equipamentos,1
63,masculino,3,gratuita,não possui,não possui,13756,60,carro,1
60,feminino,3,gratuita,moderado,moderado,14782,60,férias/outros,1
37,feminino,2,alugada,pouco,pouco,7685,48,negócios,0
34,masculino,2,própria,pouco,não possui,2320,18,rádio/TV,0
36,masculino,2,gratuita,não possui,não possui,846,7,rádio/TV,1
57,masculino,3,gratuita,pouco,moderado,14318,36,carro,1
52,feminino,1,própria,moderado,não possui,362,6,carro,1
39,masculino,2,própria,não possui,pouco,2212,20,móveis/equipamentos,0
38,feminino,3,gratuita,pouco,moderado,12976,18,carro,0
25,feminino,2,alugada,não possui,não possui,1283,22,carro,0
26,masculino,2,própria,pouco,rico,1330,12,carro,1
26,masculino,1,própria,moderado,não possui,4272,30,negócios,0
25,feminino,2,própria,pouco,não possui,2238,18,rádio/TV,0
21,feminino,2,alugada,não possui,não possui,1126,18,rádio/TV,0
40,masculino,3,própria,pouco,moderado,7374,18,móveis/equipamentos,0
27,masculino,2,própria,bastante,moderado,2326,15,negócios,1
27,feminino,2,própria,pouco,não possui,1449,9,negócios,1
30,masculino,3,própria,pouco,não possui,1820,18,carro,0
19,feminino,1,alugada,rico,moderado,983,12,móveis/equipamentos,1
39,masculino,3,gratuita,pouco,pouco,3249,36,carro,0
31,feminino,2,própria,pouco,pouco,1957,6,rádio/TV,1
31,masculino,3,própria,pouco,não possui,2406,9,móveis/equipamentos,1
32,masculino,2,alugada,moderado,moderado,11760,39,educação,1
55,feminino,3,gratuita,pouco,pouco,2578,12,móveis/equipamentos,0
46,masculino,2,própria,pouco,pouco,2348,36,móveis/equipamentos,0
46,masculino,2,alugada,pouco,moderado,1223,12,carro,0
43,feminino,1,própria,rico,não possui,1516,24,rádio/TV,0
39,masculino,2,própria,pouco,não possui,1473,18,rádio/TV,0
28,masculino,2,própria,não possui,moderado,1887,18,negócios,1
27,masculino,2,própria,pouco,não possui,8648,24,negócios,1
27,masculino,1,própria,pouco,não possui,802,14,carro,0
43,masculino,2,própria,não possui,moderado,2899,18,carro,0
22,masculino,2,própria,pouco,moderado,2039,24,rádio/TV,1
43,masculino,2,própria,não possui,não possui,2197,24,carro,0
27,masculino,2,própria,pouco,pouco,1053,15,rádio/TV,1
26,masculino,3,própria,bastante,não possui,3235,24,rádio/TV,0
28,masculino,2,própria,bastante,rico,939,12,carro,1
20,feminino,2,própria,pouco,moderado,1967,24,rádio/TV,0
35,masculino,3,própria,pouco,não possui,7253,33,carro,0
42,masculino,3,própria,pouco,não possui,2292,12,negócios,1
40,masculino,1,alugada,bastante,não possui,1597,10,carro,1
35,feminino,2,própria,não possui,pouco,1381,24,carro,0
35,masculino,2,própria,pouco,não possui,5842,36,carro,0
33,masculino,1,própria,pouco,pouco,2579,12,carro,0
23,feminino,2,alugada,não possui,pouco,8471,18,educação,0
31,feminino,3,própria,bastante,não possui,2782,21,carro,0
33,feminino,2,própria,não possui,moderado,1042,18,carro,0
20,feminino,2,alugada,rico,não possui,3186,15,carro,0
30,masculino,2,própria,não possui,moderado,2028,12,carro,0
47,masculino,1,própria,pouco,moderado,958,12,carro,0
34,masculino,3,própria,moderado,não possui,1591,21,móveis/equipamentos,0
25,feminino,2,própria,não possui,moderado,2762,12,móveis/equipamentos,0
21,masculino,2,alugada,pouco,moderado,2779,18,carro,1
29,masculino,2,própria,pouco,não possui,2743,28,rádio/TV,1
46,masculino,2,própria,rico,não possui,1149,18,rádio/TV,0
20,masculino,2,própria,pouco,não possui,1313,9,móveis/equipamentos,1
55,feminino,0,gratuita,pouco,pouco,1190,18,reparos,0
74,masculino,1,própria,pouco,não possui,3448,5,negócios,1
29,masculino,3,própria,pouco,moderado,11328,24,férias/outros,0
36,masculino,3,gratuita,pouco,pouco,1872,6,móveis/equipamentos,1
33,masculino,2,própria,pouco,não possui,2058,24,reparos,0
25,masculino,2,própria,pouco,pouco,2136,9,móveis/equipamentos,1
